Date,Committee,Hearing Title,Time,Link,Code
"Thursday, February 14, 2013",Committee on Ways and Means,"Chairman Camp has scheduled a Meeting of the Committee on Ways and Means to be held on Thursday, February 14, 2013, at 9:30 AM in the main hearing room, 1100 Longworth House Office Building.The Meeting is for the purpose of considering the Committee s oversight plan for the 113th Congress.  Attached is a copy of the proposed oversight letter under consideration that outlines the Committee s plan for the 113th Congress.",9:30 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100290,WM00
"Thursday, February 14, 2013",Committee on the Judiciary,To adopt the Judiciary Committee Oversight Plan for the 113th Congress,9:30 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100279,JU00
"Thursday, February 14, 2013","Subcommittee on State, Foreign Operations, and Related Programs (Committee on Appropriations)",Embassy Security Oversight (CLOSED),9:30 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100239,AP04
"Thursday, February 14, 2013",Committee on Natural Resources,"Oversight hearing on  The Past, Present and Future of the Federal Helium Program  and legislative hearing on H.R. 527, Responsible Helium Administration and Stewardship Act",10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100266,II00
"Thursday, February 14, 2013",Committee on Armed Services,Framework for Building Partnership Capacity Programs and Authorities to Meet 21st Century Challenges,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100260,AS00
"Thursday, February 14, 2013","Subcommittee on Commerce, Manufacturing, and Trade (Committee on Energy and Commerce)",Our Nation of Builders: Manufacturing in America,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100268,IF17
"Thursday, February 14, 2013",Committee on Financial Services,the Committee s Oversight Plan for the 113th Congress,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100291,BA00
"Thursday, February 14, 2013",Subcommittee on Economic Opportunity (Committee on Veterans Affairs),Increasing the Functionality of Post 9/11 GI Bill Claims Processing to Reduce Delays,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100278,VR10
"Thursday, February 14, 2013",Subcommittee on Workforce Protections (Committee on Education and Labor),Sequestration: Examining Employers WARN Act Responsibilities,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100247,ED10
"Thursday, February 14, 2013",Committee on Foreign Affairs,The Crisis in Mali: U.S. Interests and the International Response,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100248,FA00
"Thursday, February 14, 2013","Subcommittee on Energy and Water Development, and Related Agencies (Committee on Appropriations)",National Nuclear Security Administration Weapons Activities Budget,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100238,AP10
