MC,Hearing 1 Code,Hearing 1 Link,Hearing 2 Code,Hearing 2 Link,Date
 Daniel  Meuser,BU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108814,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108822,"Tuesday, January 29, 2019"
 Jim  Cooper,BU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108814,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108817,"Tuesday, January 29, 2019"
 Ro  Khanna,BU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108814,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108817,"Tuesday, January 29, 2019"
 Ralph  Norman,BU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108814,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108817,"Tuesday, January 29, 2019"
 Chip  Roy,BU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108814,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108817,"Tuesday, January 29, 2019"
 Mark  DeSaulnier,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108822,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108817,"Tuesday, January 29, 2019"
 Virginia  Foxx,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108822,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108817,"Tuesday, January 29, 2019"
 Glenn  Grothman,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108822,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108817,"Tuesday, January 29, 2019"
 James  Comer,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108822,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108817,"Tuesday, January 29, 2019"
 Fred  Keller,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108822,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108817,"Tuesday, January 29, 2019"
 Al  Green,BA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108830,HM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108827,"Wednesday, January 30, 2019"
 Emanuel  Cleaver,BA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108830,HM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108827,"Wednesday, January 30, 2019"
 Nydia M. Velezquez,BA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108830,II00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108833,"Wednesday, January 30, 2019"
 Wm. Lacy Clay,BA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108830,II00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108833,"Wednesday, January 30, 2019"
 Michael F. Q. San Nicolas,BA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108830,II00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108833,"Wednesday, January 30, 2019"
" Jeses G. ""Chuy"" Garcea",BA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108830,II00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108833,"Wednesday, January 30, 2019"
 Bonnie  Watson Coleman,HM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108827,AP00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108826,"Wednesday, January 30, 2019"
 Nanette Diaz Barragen,HM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108827,II00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108833,"Wednesday, January 30, 2019"
 Matt  Cartwright,AP00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108826,II00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108833,"Wednesday, January 30, 2019"
 Ed  Case,AP00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108826,II00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108833,"Wednesday, January 30, 2019"
 Brad  Sherman,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,SY00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108888,"Wednesday, February 6, 2019"
 Ami  Bera,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,SY00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108888,"Wednesday, February 6, 2019"
 Francis  Rooney,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,SY00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108888,"Wednesday, February 6, 2019"
 Joaquin  Castro,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,IG00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108866,"Wednesday, February 6, 2019"
 Gerald E. Connolly,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108837,"Wednesday, February 6, 2019"
 Mark E. Green,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108837,"Wednesday, February 6, 2019"
 Theodore E. Deutch,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108838,"Wednesday, February 6, 2019"
