MC,Hearing 1 Code,Hearing 1 Link,Hearing 2 Code,Hearing 2 Link,Date
 Ro Khanna,GO05,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115431,GO12,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115432,"Wednesday, March 8, 2023"
 Chellie Pingree,AP06,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115413,AP01,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115430,"Thursday, March 9, 2023"
 Matt Gaetz,AS35,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115478,AS02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115477,"Thursday, March 9, 2023"
 Andy Kim,AS35,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115478,AS02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115477,"Thursday, March 9, 2023"
 David G. Valadao,AP24,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115424,AP01,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115430,"Thursday, March 9, 2023"
 Scott Franklin,AP24,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115424,AP01,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115430,"Thursday, March 9, 2023"
 Brad Sherman,BA20,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115384,BA16,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115394,"Thursday, March 9, 2023"
 Gregory W. Meeks,BA20,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115384,BA16,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115394,"Thursday, March 9, 2023"
 David Scott,BA20,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115384,BA16,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115394,"Thursday, March 9, 2023"
 Juan Vargas,BA20,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115384,BA16,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115394,"Thursday, March 9, 2023"
 Sean Casten,BA20,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115384,BA16,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115394,"Thursday, March 9, 2023"
