Date,Committee,Hearing Title,Time,Link,Hour,Code
"Thursday, February 11, 2021","Subcommittee on Antitrust, Commercial, and Administrative Law (Committee on the Judiciary)",Justice Restored: Ending Forced Arbitration and Protecting Fundamental Rights,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111171,10,JU05
"Thursday, February 11, 2021",Committee on Energy and Commerce,"Budget Reconciliation pursuant to S. Con. Res. 5, the Concurrent Resolution on the Budget for Fiscal Year 2021",11:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111190,11,IF00
"Thursday, February 11, 2021",Subcommittee on Immigration and Citizenship (Committee on the Judiciary),"Adoption of the Subcommittee?s Rules of Procedure and Statement of Policy for Private Immigration Bills; and Request for a DHS Departmental Report on the Beneficiaries of H.R. 187, H.R. 680, H.R. 739, and H.R. 785.",2:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111173,14,JU01
"Thursday, February 11, 2021",Committee on Veterans Affairs,Full Committee Organizational Meeting of the 117th Congress,2:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111195,14,VR00
"Friday, February 12, 2021",Committee on Oversight and Reform,"1.  Committee Print providing for reconciliation pursuant to S. Con. Res. 5;a.  ANS to Committee Print, offered by Ms. Maloney of NY; and 2.  Several postal naming measures.",12:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111197,12,GO00
"Tuesday, February 16, 2021",Subcommittee on Financial Services and General Government (Committee on Appropriations),Election Assistance Commission Oversight Hearing,11:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111188,11,AP23
"Tuesday, February 16, 2021","Subcommittee on Military Construction, Veterans Affairs, and Related Agencies (Committee on Appropriations)",Oversight of Military Privatized Housing,11:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111193,11,AP18
"Wednesday, February 17, 2021","Subcommittee on the Constitution, Civil Rights, and Civil Liberties (Committee on the Judiciary)",H.R. 40: Exploring the Path to Reparative Justice in America,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111198,10,JU10
"Wednesday, February 17, 2021","Subcommittee on the Constitution, Civil Rights, and Civil Liberties (Committee on the Judiciary)",H.R. 40: Exploring the Path to Reparative Justice in America,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111198,10,JU10
"Wednesday, February 17, 2021",Subcommittee on Communications and Technology (Committee on Energy and Commerce),?Connecting America:  Broadband Solutions to Pandemic Problems?,11:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111199,11,IF16
"Wednesday, February 17, 2021",Committee on Armed Services,An Update on the Department of Defense?s Evolving Roles and Mission in Response to the COVID-19 Pandemic,11:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111212,11,AS00
"Thursday, February 18, 2021",Subcommittee on Legislative Branch (Committee on Appropriations),House Wellness and Office of Employee Assistance (OEA) Hearing,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111187,10,AP24
"Thursday, February 18, 2021",Committee on Natural Resources,FC Organizational meeting to consider and adopt the Committee Rules and Staffing Resolution for the 117th Congress.,11:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111192,11,II00
"Thursday, February 18, 2021","Committee on Science, Space, and Technology",Adoption of Committee Rules,11:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111213,11,SY00
"Thursday, February 18, 2021",Subcommittee on Energy (Committee on Energy and Commerce),?A Smarter Investment: Pathways to a Clean Energy Future.?,11:30 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111210,11,IF03
"Thursday, February 18, 2021",Committee on Financial Services,"Game Stopped? Who Wins and Loses When Short Sellers, Social Media, and Retail Investors Collide",12:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111207,12,BA00
"Thursday, February 18, 2021","Subcommittee on Courts, Intellectual Property, and the Internet (Committee on the Judiciary)",The Supreme Courts Shadow Docket,2:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111204,14,JU03
"Thursday, February 18, 2021",Subcommittee on Oversight (Committee on Ways and Means),Hearing on Free Tax Preparation Services During the Pandemic,2:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111217,14,WM06
"Friday, February 19, 2021","Subcommittee on the Departments of Labor, Health and Human Services, Education, and Related Agencies (Committee on Appropriations)",COVID-19 and the Child Care Crisis,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111202,10,AP07
